feature,importance
feature_11,215
feature_8,204
feature_12,196
feature_4,180
feature_5,179
feature_9,171
feature_10,169
feature_0,161
feature_13,157
feature_3,157
feature_2,156
feature_18,150
feature_14,149
feature_17,140
feature_16,135
feature_80,133
feature_45,128
feature_15,128
feature_78,124
feature_202,123
feature_6,119
feature_7,115
feature_194,112
feature_41,111
feature_69,108
feature_108,102
feature_65,101
feature_91,100
feature_50,99
feature_19,98
feature_64,98
feature_95,98
feature_100,97
feature_84,97
feature_93,93
feature_1,89
feature_186,88
feature_102,86
feature_144,85
feature_148,84
feature_35,81
feature_178,80
feature_168,80
feature_199,77
feature_57,77
feature_47,76
feature_215,75
feature_74,75
feature_221,73
feature_201,73
feature_30,73
feature_213,73
feature_150,71
feature_143,71
feature_157,70
feature_170,70
feature_54,69
feature_89,69
feature_107,69
feature_81,68
feature_117,68
feature_112,67
feature_67,67
feature_156,66
feature_122,66
feature_220,66
feature_56,65
feature_61,65
feature_27,65
feature_138,65
feature_137,64
feature_227,64
feature_192,64
feature_55,64
feature_129,64
feature_125,63
feature_83,63
feature_72,63
feature_207,63
feature_214,63
feature_212,62
feature_174,62
feature_169,61
feature_197,61
feature_172,61
feature_22,61
feature_216,61
feature_228,61
feature_179,61
feature_133,61
feature_105,60
feature_98,60
feature_21,60
feature_120,60
feature_224,60
feature_176,59
feature_76,59
feature_128,59
feature_123,58
feature_38,58
feature_71,58
feature_85,57
feature_73,57
feature_206,57
feature_182,57
feature_66,57
feature_90,57
feature_37,56
feature_31,56
feature_32,56
feature_104,56
feature_26,56
feature_173,55
feature_225,55
feature_159,55
feature_190,55
feature_75,55
feature_211,55
feature_24,55
feature_25,55
feature_145,54
feature_185,54
feature_51,54
feature_154,53
feature_40,53
feature_205,53
feature_161,53
feature_171,52
feature_166,52
feature_42,52
feature_82,52
feature_92,52
feature_139,52
feature_114,51
feature_222,51
feature_147,51
feature_217,51
feature_162,50
feature_223,50
feature_180,50
feature_46,50
feature_134,50
feature_126,49
feature_70,49
feature_63,49
feature_204,49
feature_96,49
feature_136,48
feature_33,48
feature_28,48
feature_77,48
feature_149,48
feature_48,47
feature_195,47
feature_116,46
feature_160,46
feature_58,46
feature_44,46
feature_106,46
feature_131,46
feature_68,46
feature_103,46
feature_151,46
feature_219,46
feature_218,46
feature_97,46
feature_101,44
feature_196,44
feature_53,44
feature_158,43
feature_210,43
feature_34,43
feature_167,43
feature_59,43
feature_146,43
feature_124,43
feature_181,43
feature_121,42
feature_60,42
feature_140,42
feature_110,42
feature_226,41
feature_152,41
feature_141,41
feature_109,41
feature_208,40
feature_115,40
feature_20,40
feature_94,40
feature_87,40
feature_86,40
feature_198,39
feature_200,39
feature_62,38
feature_189,38
feature_142,38
feature_52,38
feature_111,37
feature_188,37
feature_43,37
feature_193,37
feature_79,36
feature_165,36
feature_191,36
feature_130,36
feature_164,35
feature_209,34
feature_39,34
feature_187,34
feature_229,34
feature_183,34
feature_203,34
feature_177,33
feature_175,33
feature_118,32
feature_23,32
feature_119,31
feature_29,31
feature_163,31
feature_88,31
feature_132,31
feature_153,30
feature_113,30
feature_49,28
feature_184,27
feature_155,26
feature_127,26
feature_135,23
feature_99,23
feature_36,18
