param_set,fold,pearson,weight
1,1,0.5353971614768473,0.0
1,2,0.5260995302525525,0.0
1,3,0.5598043660208999,0.0
1,4,0.5384981248190673,0.0
1,5,0.5570618550593825,0.0
2,1,0.557701053196518,0.0
2,2,0.5586225374633035,0.0
2,3,0.5678182848505836,0.0
2,4,0.5513108799189284,0.0
2,5,0.5569048569785516,0.0
3,1,0.5476019507272014,0.0
3,2,0.5372646119260949,0.0
3,3,0.5755996329354205,0.0
3,4,0.5421127537869884,0.0
3,5,0.5715640668689349,0.0
4,1,0.5784219986886657,0.19989902743956062
4,2,0.5670511698530987,0.19596934006500588
4,3,0.5839826435838172,0.2018207515596625
4,4,0.580197910943547,0.20051277161487482
4,5,0.5839171266617502,0.20179810932089612
