Feature,Importance
Feature_0,15253
Feature_1,9479
Feature_2,5710
Feature_3,5410
Feature_4,3476
Feature_7,3371
Feature_12,3253
Feature_5,3086
Feature_6,3050
Feature_10,2342
Feature_8,1446
Feature_17,1307
Feature_190,1136
Feature_312,1122
Feature_333,1122
Feature_11,1097
Feature_313,1060
Feature_13,984
Feature_30,939
Feature_169,927
Feature_9,926
Feature_28,844
Feature_27,793
Feature_240,778
Feature_176,749
Feature_284,748
Feature_331,748
Feature_212,748
Feature_334,748
Feature_238,748
Feature_236,748
Feature_276,697
Feature_50,684
Feature_16,656
Feature_254,655
Feature_182,645
Feature_165,644
Feature_178,607
Feature_234,604
Feature_198,604
Feature_14,599
Feature_29,591
Feature_180,567
Feature_263,554
Feature_332,548
Feature_186,543
Feature_31,530
Feature_20,525
Feature_162,466
Feature_250,460
Feature_175,459
Feature_21,453
Feature_160,450
Feature_232,431
Feature_39,430
Feature_35,427
Feature_213,423
Feature_25,423
Feature_189,421
Feature_295,406
Feature_24,391
Feature_15,382
Feature_52,380
Feature_185,374
Feature_215,374
Feature_78,374
Feature_167,374
Feature_229,374
Feature_187,374
Feature_204,374
Feature_192,374
Feature_168,374
Feature_210,374
Feature_209,374
Feature_208,374
Feature_230,374
Feature_272,374
Feature_290,374
Feature_314,374
Feature_321,374
Feature_37,374
Feature_304,374
Feature_303,374
Feature_300,374
Feature_291,374
Feature_235,374
Feature_282,374
Feature_266,374
Feature_307,374
Feature_260,374
Feature_251,374
Feature_248,374
Feature_247,374
Feature_246,374
Feature_220,360
Feature_206,343
Feature_23,339
Feature_194,336
Feature_22,331
Feature_70,308
Feature_18,294
Feature_261,289
Feature_226,288
Feature_34,285
Feature_75,251
Feature_223,240
Feature_200,239
Feature_306,230
Feature_256,230
Feature_161,230
Feature_195,216
Feature_184,215
Feature_322,204
Feature_320,195
Feature_166,195
Feature_341,195
Feature_336,185
Feature_26,179
Feature_339,179
Feature_316,179
Feature_36,176
Feature_57,173
Feature_177,173
Feature_308,171
Feature_19,170
Feature_264,158
Feature_222,157
Feature_191,146
Feature_338,144
Feature_181,144
Feature_164,144
Feature_310,144
Feature_259,144
Feature_193,126
Feature_170,117
Feature_228,109
Feature_218,102
Feature_327,99
Feature_38,93
Feature_43,92
Feature_298,85
Feature_277,85
Feature_317,85
Feature_245,71
Feature_163,69
Feature_255,61
Feature_45,55
Feature_69,53
Feature_330,49
Feature_237,45
Feature_302,37
Feature_199,25
Feature_202,24
Feature_32,24
Feature_252,17
Feature_55,14
Feature_172,14
Feature_66,13
Feature_60,3
Feature_171,1
Feature_299,0
Feature_326,0
Feature_63,0
Feature_325,0
Feature_62,0
Feature_257,0
Feature_258,0
Feature_324,0
Feature_61,0
Feature_323,0
Feature_262,0
Feature_59,0
Feature_40,0
Feature_265,0
Feature_319,0
Feature_58,0
Feature_267,0
Feature_253,0
Feature_64,0
Feature_268,0
Feature_328,0
Feature_71,0
Feature_239,0
Feature_340,0
Feature_241,0
Feature_242,0
Feature_337,0
Feature_243,0
Feature_244,0
Feature_335,0
Feature_68,0
Feature_67,0
Feature_33,0
Feature_329,0
Feature_249,0
Feature_65,0
Feature_318,0
Feature_269,0
Feature_297,0
Feature_285,0
Feature_286,0
Feature_72,0
Feature_288,0
Feature_289,0
Feature_46,0
Feature_53,0
Feature_47,0
Feature_51,0
Feature_292,0
Feature_293,0
Feature_294,0
Feature_49,0
Feature_301,0
Feature_48,0
Feature_296,0
Feature_305,0
Feature_54,0
Feature_270,0
Feature_283,0
Feature_271,0
Feature_315,0
Feature_41,0
Feature_273,0
Feature_42,0
Feature_274,0
Feature_275,0
Feature_56,0
Feature_311,0
Feature_278,0
Feature_279,0
Feature_280,0
Feature_281,0
Feature_309,0
Feature_44,0
Feature_287,0
Feature_116,0
Feature_73,0
Feature_143,0
Feature_145,0
Feature_146,0
Feature_147,0
Feature_148,0
Feature_149,0
Feature_150,0
Feature_151,0
Feature_152,0
Feature_153,0
Feature_154,0
Feature_155,0
Feature_156,0
Feature_157,0
Feature_158,0
Feature_159,0
Feature_115,0
Feature_114,0
Feature_113,0
Feature_112,0
Feature_111,0
Feature_110,0
Feature_109,0
Feature_108,0
Feature_144,0
Feature_142,0
Feature_74,0
Feature_141,0
Feature_118,0
Feature_119,0
Feature_120,0
Feature_121,0
Feature_122,0
Feature_123,0
Feature_124,0
Feature_125,0
Feature_126,0
Feature_127,0
Feature_128,0
Feature_129,0
Feature_130,0
Feature_131,0
Feature_132,0
Feature_133,0
Feature_134,0
Feature_135,0
Feature_136,0
Feature_137,0
Feature_138,0
Feature_139,0
Feature_140,0
Feature_107,0
Feature_173,0
Feature_174,0
Feature_106,0
Feature_88,0
Feature_87,0
Feature_86,0
Feature_211,0
Feature_85,0
Feature_84,0
Feature_214,0
Feature_83,0
Feature_216,0
Feature_217,0
Feature_219,0
Feature_82,0
Feature_221,0
Feature_81,0
Feature_224,0
Feature_225,0
Feature_80,0
Feature_227,0
Feature_117,0
Feature_77,0
Feature_231,0
Feature_76,0
Feature_233,0
Feature_207,0
Feature_89,0
Feature_205,0
Feature_188,0
Feature_105,0
Feature_104,0
Feature_179,0
Feature_103,0
Feature_102,0
Feature_183,0
Feature_101,0
Feature_100,0
Feature_99,0
Feature_98,0
Feature_97,0
Feature_90,0
Feature_96,0
Feature_95,0
Feature_94,0
Feature_93,0
Feature_196,0
Feature_197,0
Feature_92,0
Feature_91,0
Feature_201,0
Feature_203,0
Feature_79,0
