trees,train_pearson,val_pearson,test_pearson
100,0.8905634780187628,0.4677899125320292,0.5359958936628811
200,0.8708800554854554,0.6722460476798988,0.5484682176893945
300,0.855831318850234,0.7823559565621532,0.5444117956187479
400,0.8630268309459395,0.781991926104364,0.5544388153445154
500,0.8648735878114874,0.7673784167173053,0.5526342596511375
600,0.864813374139999,0.7520301939663679,0.5515182438116851
700,0.8665031205775424,0.7516505548970186,0.5523178887468718
800,0.8650128591543169,0.7554234979972179,0.5553365470054039
900,0.853811823880989,0.8259265294883287,0.5590969422443767
1000,0.8561873493091884,0.8244026513949004,0.5606934447069848
1100,0.855965324612986,0.8335467816153784,0.5655438803011523
1200,0.8499847456034981,0.8675439460805382,0.5659209299934237
1300,0.8561453048367675,0.85452569479958,0.5655458206315173
1400,0.8602004266800989,0.8348990932393541,0.5630782510989163
1500,0.8623703005979457,0.8251972837822099,0.5632155886473075
1600,0.8614664309969791,0.8237844221145905,0.5640239624392597
1700,0.8612486975925038,0.8301005800669607,0.5659684928716071
1800,0.8669497553881063,0.8043623076638412,0.5641140360679551
1900,0.8563928494794786,0.8574555103284127,0.5635817141416962
2000,0.865729946789221,0.8244382421611156,0.5612274212398418
2100,0.8571136152484737,0.8563388774326444,0.5612342156800176
2200,0.8573135166165042,0.8594299418820041,0.562834376559217
2300,0.858247047633672,0.8586405828022391,0.5617663567831198
2400,0.8639850632009375,0.8352183832922309,0.5603159905176045
2500,0.8662786880681059,0.8300036749177446,0.5599734458824014
2600,0.8715516104561647,0.7843304752844649,0.5602672821874192
2700,0.8611294811731836,0.84562469421155,0.5604549911847423
2800,0.8602979170460116,0.8513614738957042,0.5620376423376494
2900,0.8713024204205682,0.8074562425199552,0.561469482543314
3000,0.859738985470523,0.8537373658166296,0.5632413036582556
3100,0.8581330620717644,0.8659966222705001,0.5631935887459317
3200,0.8626272940417428,0.8497890693535115,0.5622553502645378
3300,0.8695540957614984,0.815630749062116,0.5609024516889065
3400,0.8703633888974621,0.8063509589627946,0.5607473759997326
3500,0.8657293539763729,0.8312254994749568,0.5598719227098269
3600,0.8624203986092214,0.8461822572883102,0.5596851794875672
3700,0.8623787128138287,0.8567306917153608,0.5589832883080152
3800,0.863519675425082,0.8410137136009215,0.5579749349729849
3900,0.8638881382313099,0.8367599403090119,0.5573342890006996
4000,0.8633271535124267,0.8389861442369846,0.5577702353479381
4100,0.8686922280684098,0.8041079242965142,0.5578940270151257
4200,0.8633928312940744,0.8401539321170153,0.5577440559760151
4300,0.8637061232323319,0.8396600955209139,0.5587514592505506
4400,0.8553474610910493,0.8746382097256595,0.559403384897769
4500,0.851550010081111,0.8906607035819508,0.5608854439708247
4600,0.8611441206689383,0.8533835558947005,0.5613666841623903
4700,0.8631382652250499,0.8478721590016276,0.5615959589225674
4800,0.8592339770299878,0.8666979474154088,0.5611642525756604
4900,0.8605855574384353,0.86211119518032,0.5600306447677073
5000,0.862051471262168,0.853264171435609,0.5603623453469292
