,Y
X5_std,0.08887596346097743
X1_std,0.07739184235497142
X7_max,0.058267446339178554
X9_std,0.05669381241804907
X6_mean,0.05347052998778185
X1_max,0.03711726273341712
X7_mean,0.03476829055444036
X4_min,0.024816304451702024
X6_max,0.022102096195449825
X5_max,0.020893196685517645
X9_min,0.02087698111530947
X3_mean,0.017071408977733113
X8_min,0.006270132014506413
X1_min,0.0003865393842144333
X8_mean,-0.0014277625080405256
X1_mean,-0.0014533871558569946
X8_std,-0.0026547839163000384
X6_min,-0.0037078717010367492
X2_mean,-0.00436359345893915
X3_std,-0.0052335854779948935
X8_max,-0.006270132014506413
X5_min,-0.007713024577002707
X3_max,-0.00956619523603115
X6_std,-0.018952065757090474
X2_min,-0.029746751266193982
X9_mean,-0.032359601747955914
X7_std,-0.035275220356465214
X5_mean,-0.036243395227343565
X3_min,-0.0406201675969787
X2_max,-0.04961957141075623
X4_mean,-0.0514619370721266
X4_max,-0.06443377858538418
X2_std,-0.06773773411097708
X4_std,-0.07791416517261969
X9_max,
X7_min,
